OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,CONFIDENCE,FIRETYPE,ID,AREA_,PERIMETER,COMMENTS,SHAPE_Length,SHAPE_Area
895,6911.42143856673,CA3765112147419840628,SITE 300 #3,1984,6,28,High,WF,0,27969528.13887,52954.38421, ,67006.0682144876,44695212.6588475
927,2033.3966258505,CA3793312038319840730,UNNAMED,1984,7,30,High,UNK,0,8228863.57745,15105.91584, ,19156.0431489389,13249472.141263
928,4836.62100467524,CA3800412064719840624,SALT SPRING,1984,6,24,High,WF,0,19573109.30751,27087.68591, ,34380.2747628451,31576120.7245407
929,1774.99962111229,CA3816412073119840912,BEAR MTN. #3,1984,9,12,High,RX,0,7183168.07772,15956.28052, ,20278.4972732211,11638394.7228262
930,2822.95445386502,CA3898512244019841128,TERHEL VMP,1984,11,28,High,RX,0,11424090.50496,19980.96752, ,25734.0225159085,18934040.3506276
931,1845.95924819831,CA3927012245319841128,HUFFMASTER VMP,1984,11,28,High,RX,0,7470331.47879,30376.21703, ,39197.9213808863,12479456.7525289
932,1470.43117293551,CA3939212245119841024,CLARK VALLEY,1984,10,24,High,WF,0,5950623.3896,17106.40403, ,22146.564106526,9976501.30258203
933,6011.77632813178,CA3978412169619840702,BIDWELL,1984,7,2,High,WF,0,24328793.81888,34784.83572,"Bidwell; Used Sept 7, 1984 Landsat 5 image to help delineate perimeter",45268.4926488184,41249095.9852494
934,2672.35877034218,CA3995112180419840705,UNNAMED,1984,7,5,Low,UNK,0,10814651.44162,19118.31398,Perimeter hard to distinguish.,24927.8660464063,18424860.2122648
935,2868.02160803834,CA3998112259119840712,LOWERY,1984,7,12,High,WF,0,11606470.79359,16571.00121,Lowery,21583.8560836824,19790898.5056952
936,2794.94519649164,CA4001112181719840907,BRUSHY,1984,9,7,High,WF,0,11310741.07038,15912.84933, ,20794.3483475861,19303554.5346431
937,1200.55601586998,CA4003412014019840821,SECOND,1984,8,21,Low,WF,0,4858477.45889,11491.62615, ,14979.0262855367,8297139.93959625
981,3978.56093222611,CA4007812006619840705,TURTLE,1984,7,5,High,WF,0,16100663.65294,20023.48066, ,26185.5432662028,27532043.3725478
982,3447.65431706951,CA4011612187219840907,UNNAMED,1984,9,7,"High,",UNK,0,13952160.96884,20479.5313, ,26815.3142122711,23884358.3922615
983,1112.7686577676,CA4054812140719840823,BADGER,1984,8,23,"High;",WF,0,4503214.65159,13505.65028,Badger,17755.1725147931,7809000.84373999
984,2414.97747231396,CA4064712197519841005,DANIELS,1984,10,5,High,RX,0,9773066.36081,18633.27285,Daniels,24613.3289185641,16993801.9693806
985,13617.3679982997,CA4068311999419840706,TWIN,1984,7,6,High,WF,0,55107529.00705,72210.66486, ,95345.7500404981,96094336.0128862
986,7864.10894560734,CA4068311999419840706,TWIN,1984,7,6,High,WF,0,31824917.40612,52790.70545, ,69555.6912350268,55326401.0033491
987,1733.84830368154,CA4126012012019840809,EAGLE,1984,8,9,High,WF,0,7016634.61698,16191.0366, ,21531.3693337641,12428032.9389345
988,3024.80734528435,CA4192312065019840813,RAIL,1984,8,13,High,WF,0,12240960.11372,26831.7677, ,36090.3293850122,22127726.112635
989,812.89369840439,CO3765510864719840706,UNNAMED,1984,7,6,High,UNK,0,3289663.83739,8720.27462, ,11056.8997529507,5258400.30786452
990,522.12578691806,CO3765510864719840706,UNNAMED,1984,7,6,High,UNK,0,2112967.93562,7132.05041, ,9026.89436407303,3376165.73159777
1056,2843.04278379093,FL2536308069419841102,DONUT SW,1984,11,2,Low,RX,0,11505385.08584,40091.45574,Hard to delineate fire perimeter with limited scenes,44394.202669336,14152053.4890332
1057,2484.18464095383,FL2547908067519841119,EAST BNDY,1984,11,19,Low,RX,0,10053137.81469,27016.80217,Hard to delineate fire perimeter with limited scenes,30024.2391329204,12388458.1160208
1058,1171.38473505866,FL2571008106519840817,LOSTMAN 3,1984,8,17,High,RX,0,4740425.48264,9570.30648, ,10624.5340591429,5863958.6519917
1059,1381.87310429796,FL2594208040219840624,UNNAMED,1984,6,24,High,UNK,0,5592241.62765,16212.37334, ,18086.8178184654,6944409.61650262
1060,607.87610827943,FL2612908146419841106,UNNAMED,1984,11,6,High,WF,0,2459987.14832,9316.52918, ,10363.9429271213,3064508.76066148
1061,3302.41044609859,FL2627508056419840726,UNNAMED,1984,7,26,High,UNK,0,13364379.92087,16330.98556, ,18269.453045335,16689849.2302412
1062,1116.45006947144,FL2632308079319841111,UNNAMED,1984,11,11,High,WF,0,4518112.79507,11366.54485, ,12667.4347372713,5646939.7603199
1063,822.69912919013,FL2632308086919840624,UNNAMED,1984,6,24,High,UNK,0,3329345.00497,7459.99293, ,8313.9596868988,4161216.48815356
1064,2223.77170530874,FL2634508084719840813,UNNAMED,1984,8,13,High,WF,0,8999284.13264,17967.17132, ,19988.1565946556,11251938.0979725
1065,17966.5024293648,FL2639908045619841217,UNNAMED,1984,12,17,High,UNK,0,72707850.29127,76660.75325,Used scene acquisition date as start of fire,85978.8676806364,90992250.1859977
1066,1625.24299822709,FL2640708069619841217,UNNAMED,1984,12,17,High,WF,0,6577124.57205,15937.13213, ,17849.9393003359,8232217.68495097
1067,4631.33892123066,FL2644208086419841217,UNNAMED,1984,12,17,High,UNK,0,18742362.25202,35236.22539, ,39337.3841088364,23477713.3101774
1068,1766.46778191034,FL2654408042219840811,UNNAMED,1984,8,11,High,UNK,0,7148640.95204,12652.40873, ,14188.4049263565,8968675.72174636
1069,1169.65836434041,FL2677908157819840514,UNNAMED,1984,5,14,High,UNK,0,4733439.10874,15349.5023, ,17192.1212012739,5962868.25954453
1070,1640.38956164681,FL2683208184619841208,UNNAMED,1984,12,8,High,UNK,0,6638420.53491,16469.43426, ,18465.5561550168,8370310.43551634
1136,501.11644038965,FL2684208192319841224,UNNAMED,1984,12,24,High,UNK,0,2027946.13307,12310.1802, ,13838.6009668578,2557381.60051929
1137,52.87674097628,FL2684208192319841224,UNNAMED,1984,12,24,High,UNK,0,213984.56277,2782.23484, ,3108.02969599301,269802.386503724
1138,134.34640451167,FL2684208192319841224,UNNAMED,1984,12,24,High,UNK,0,543680.56915,5197.44502, ,5845.59559543382,685605.343104238
1139,103.1186664271,FL2684208192319841224,UNNAMED,1984,12,24,High,UNK,0,417306.4062,4538.28643, ,5106.72829444837,526291.519383196
1140,56.73211555718,FL2684208192319841224,UNNAMED,1984,12,24,High,UNK,0,229586.70898,2460.40062, ,2757.19481068156,289603.295445894
1141,930.01120023985,FL2689108188519841224,UNNAMED,1984,12,24,High,UNK,0,3763621.51632,13102.87254, ,14684.8317368259,4752343.78881205
1142,425.70428740367,FL2689108188519841224,UNNAMED,1984,12,24,High,UNK,0,1722764.00032,8128.58937, ,9137.78505740487,2174454.81463353
1143,322.72727260364,FL2689108188519841224,UNNAMED,1984,12,24,High,UNK,0,1306030.83787,5749.74033, ,6470.55321272645,1648569.91387245
1144,557.61465604669,FL2689108188519841224,UNNAMED,1984,12,24,High,UNK,0,2256586.2828,12012.00257, ,13513.5808700788,2848071.72083028
1145,553.38472862554,FL2689108188519841224,UNNAMED,1984,12,24,High,UNK,0,2239468.37514,10739.32056, ,12087.5836753231,2826252.4846281
1146,454.08080224592,FL2689108188519841224,UNNAMED,1984,12,24,High,UNK,0,1837599.67304,13236.99319, ,14905.941830554,2319243.42299834
1147,67.41080053424,FL2689108188519841224,UNNAMED,1984,12,24,High,UNK,0,272801.81062,2402.73362, ,2706.83601168392,344271.214650475
1148,475.16463845939,FL2718808171719841224,UNNAMED,1984,12,24,High,UNK,0,1922922.92463,7848.77195, ,8862.90001156157,2440171.45061362
1149,41.70657744092,FL2718808171719841224,UNNAMED,1984,12,24,High,UNK,0,168780.51811,2149.74858, ,2423.53558712391,214125.287798791
1150,144.56003346395,FL2718808171719841224,UNNAMED,1984,12,24,High,UNK,0,585013.65597,6075.10088, ,6863.24896503894,742237.230778478
1151,543.20048530764,FL2718808171719841224,UNNAMED,1984,12,24,High,UNK,0,2198254.20775,8330.80402, ,9373.24340700295,2789206.34289114
1152,358.20888910691,FL2743108102619841224,UNNAMED,1984,12,24,High,UNK,0,1449619.83472,8436.33723, ,9546.10590559062,1847448.27672849
1153,217.50798861685,FL2743108102619841224,UNNAMED,1984,12,24,High,UNK,0,880223.53464,5020.79433, ,5657.78862043991,1121705.2531785
1154,350.99000925427,FL2743108102619841224,UNNAMED,1984,12,24,High,UNK,0,1420406.06662,6743.12653, ,7599.46996975692,1809849.9126769
